Word	Indices	GP sum	GP sum red header	Plaintext minus ciphertext	Plaintext plus ciphertext	Ciphertext_minus_plaintext
guacharo	[6, 1, 24, 5, 8, 24, 4, 3]	268	365	[16, 9, 1, 7, 6, 10, 23, 13]	[25, 22, 18, 3, 10, 9, 14, 22]	[13, 20, 28, 22, 23, 19, 6, 16]
guaranty	[6, 1, 24, 4, 24, 9, 16, 26]	416	513	[16, 9, 1, 6, 22, 24, 6, 7]	[25, 22, 18, 2, 26, 23, 26, 16]	[13, 20, 28, 23, 7, 5, 23, 22]
gueridon	[6, 1, 18, 4, 10, 23, 3, 9]	254	351	[16, 9, 24, 6, 8, 9, 22, 19]	[25, 22, 12, 2, 12, 8, 13, 28]	[13, 20, 5, 23, 21, 20, 7, 10]
guerilla	[6, 1, 18, 4, 10, 20, 20, 24]	372	469	[16, 9, 24, 6, 8, 6, 10, 5]	[25, 22, 12, 2, 12, 5, 1, 14]	[13, 20, 5, 23, 21, 23, 19, 24]
guessing	[6, 1, 18, 15, 15, 10, 9, 6]	270	367	[16, 9, 24, 17, 13, 25, 28, 16]	[25, 22, 12, 13, 17, 24, 19, 25]	[13, 20, 5, 12, 16, 4, 1, 13]
guidance	[6, 1, 10, 23, 24, 9, 5, 18]	346	443	[16, 9, 16, 25, 22, 24, 24, 28]	[25, 22, 4, 21, 26, 23, 15, 8]	[13, 20, 13, 4, 7, 5, 5, 1]
gulfweed	[6, 1, 20, 0, 7, 18, 18, 23]	337	434	[16, 9, 26, 2, 5, 4, 8, 4]	[25, 22, 14, 27, 9, 3, 28, 13]	[13, 20, 3, 27, 24, 25, 21, 25]
gummosis	[6, 1, 19, 19, 3, 15, 10, 15]	306	403	[16, 9, 25, 21, 1, 1, 0, 25]	[25, 22, 13, 17, 5, 0, 20, 5]	[13, 20, 4, 8, 28, 28, 0, 4]
gunfight	[6, 1, 9, 0, 10, 6, 8, 16]	181	278	[16, 9, 15, 2, 8, 21, 27, 26]	[25, 22, 3, 27, 12, 20, 18, 6]	[13, 20, 14, 27, 21, 8, 2, 3]
gunflint	[6, 1, 9, 0, 20, 10, 9, 16]	243	340	[16, 9, 15, 2, 18, 25, 28, 26]	[25, 22, 3, 27, 22, 24, 19, 6]	[13, 20, 14, 27, 11, 4, 1, 3]
gunmetal	[6, 1, 9, 19, 18, 16, 24, 20]	416	513	[16, 9, 15, 21, 16, 2, 14, 1]	[25, 22, 3, 17, 20, 1, 5, 10]	[13, 20, 14, 8, 13, 27, 15, 28]
gunpoint	[6, 1, 9, 13, 3, 10, 9, 16]	218	315	[16, 9, 15, 15, 1, 25, 28, 26]	[25, 22, 3, 11, 5, 24, 19, 6]	[13, 20, 14, 14, 28, 4, 1, 3]
gunsight	[6, 1, 9, 15, 10, 6, 8, 16]	232	329	[16, 9, 15, 17, 8, 21, 27, 26]	[25, 22, 3, 13, 12, 20, 18, 6]	[13, 20, 14, 12, 21, 8, 2, 3]
gunslinger	[6, 1, 9, 15, 20, 21, 18, 4]	332	429	[16, 9, 15, 17, 18, 7, 8, 14]	[25, 22, 3, 13, 22, 6, 28, 23]	[13, 20, 14, 12, 11, 22, 21, 15]
gunsmith	[6, 1, 9, 15, 19, 10, 16, 8]	286	383	[16, 9, 15, 17, 17, 25, 6, 18]	[25, 22, 3, 13, 21, 24, 26, 27]	[13, 20, 14, 12, 12, 4, 23, 11]
gunstock	[6, 1, 9, 15, 16, 3, 5, 5]	194	291	[16, 9, 15, 17, 14, 18, 24, 15]	[25, 22, 3, 13, 18, 17, 15, 24]	[13, 20, 14, 12, 15, 11, 5, 14]
gustation	[6, 1, 15, 16, 24, 16, 27, 9]	424	521	[16, 9, 21, 18, 22, 2, 17, 19]	[25, 22, 9, 14, 26, 1, 8, 28]	[13, 20, 8, 11, 7, 27, 12, 10]
guttural	[6, 1, 16, 16, 1, 4, 24, 20]	322	419	[16, 9, 22, 18, 28, 19, 14, 1]	[25, 22, 10, 14, 3, 18, 5, 10]	[13, 20, 7, 11, 1, 10, 15, 28]
guzzling	[6, 1, 15, 15, 20, 10, 9, 6]	276	373	[16, 9, 21, 17, 18, 25, 28, 16]	[25, 22, 9, 13, 22, 24, 19, 25]	[13, 20, 8, 12, 11, 4, 1, 13]
gymkhana	[6, 26, 19, 5, 8, 24, 9, 24]	450	547	[16, 5, 25, 7, 6, 10, 28, 5]	[25, 18, 13, 3, 10, 9, 19, 14]	[13, 24, 4, 22, 23, 19, 1, 24]
gynarchy	[6, 26, 9, 24, 4, 5, 8, 26]	396	493	[16, 5, 15, 26, 2, 20, 27, 7]	[25, 18, 3, 22, 6, 19, 18, 16]	[13, 24, 14, 3, 27, 9, 2, 22]
gynobase	[6, 26, 9, 3, 17, 24, 15, 18]	434	531	[16, 5, 15, 5, 15, 10, 5, 28]	[25, 18, 3, 1, 19, 9, 25, 8]	[13, 24, 14, 24, 14, 19, 24, 1]
gynoecium	[6, 26, 9, 22, 5, 10, 1, 19]	350	447	[16, 5, 15, 24, 3, 25, 20, 0]	[25, 18, 3, 20, 7, 24, 11, 9]	[13, 24, 14, 5, 26, 4, 9, 0]
habanera	[8, 24, 17, 24, 9, 18, 4, 24]	482	579	[18, 3, 23, 26, 7, 4, 23, 5]	[27, 16, 11, 22, 11, 3, 14, 14]	[11, 26, 6, 3, 22, 25, 6, 24]
habergeon	[8, 24, 17, 18, 4, 6, 12, 9]	346	443	[18, 3, 23, 20, 2, 21, 2, 19]	[27, 16, 11, 16, 6, 20, 22, 28]	[11, 26, 6, 9, 27, 8, 27, 10]
habitant	[8, 24, 17, 10, 16, 24, 9, 16]	456	553	[18, 3, 23, 12, 14, 10, 28, 26]	[27, 16, 11, 8, 18, 9, 19, 6]	[11, 26, 6, 17, 15, 19, 1, 3]
habitude	[8, 24, 17, 10, 16, 1, 23, 18]	430	527	[18, 3, 23, 12, 14, 16, 13, 28]	[27, 16, 11, 8, 18, 15, 4, 8]	[11, 26, 6, 17, 15, 13, 16, 1]
hacienda	[8, 24, 5, 10, 18, 9, 23, 24]	446	543	[18, 3, 11, 12, 16, 24, 13, 5]	[27, 16, 28, 8, 20, 23, 4, 14]	[11, 26, 18, 17, 13, 5, 16, 24]
hackathon	[8, 24, 5, 5, 24, 2, 3, 9]	284	381	[18, 3, 11, 7, 22, 17, 22, 19]	[27, 16, 28, 3, 26, 16, 13, 28]	[11, 26, 18, 22, 7, 12, 7, 10]
hackwork	[8, 24, 5, 5, 7, 3, 4, 5]	196	293	[18, 3, 11, 7, 5, 18, 23, 15]	[27, 16, 28, 3, 9, 17, 14, 24]	[11, 26, 18, 22, 24, 11, 6, 14]
haecceity	[8, 25, 5, 5, 18, 10, 16, 26]	410	507	[18, 4, 11, 7, 16, 25, 6, 7]	[27, 17, 28, 3, 20, 24, 26, 16]	[11, 25, 18, 22, 13, 4, 23, 22]
haemangioma	[8, 25, 19, 24, 21, 27, 19, 24]	646	743	[18, 4, 25, 26, 19, 13, 9, 5]	[27, 17, 13, 22, 23, 12, 0, 14]	[11, 25, 4, 3, 10, 16, 20, 24]
haematite	[8, 25, 19, 24, 16, 10, 16, 18]	508	605	[18, 4, 25, 26, 14, 25, 6, 28]	[27, 17, 13, 22, 18, 24, 26, 8]	[11, 25, 4, 3, 15, 4, 23, 1]
haematoma	[8, 25, 19, 24, 16, 3, 19, 24]	526	623	[18, 4, 25, 26, 14, 18, 9, 5]	[27, 17, 13, 22, 18, 17, 0, 14]	[11, 25, 4, 3, 15, 11, 20, 24]
haemostat	[8, 25, 19, 3, 15, 16, 24, 16]	470	567	[18, 4, 25, 5, 13, 2, 14, 26]	[27, 17, 13, 1, 17, 1, 5, 6]	[11, 25, 4, 24, 16, 27, 15, 3]
hagberry	[8, 24, 6, 17, 18, 4, 4, 26]	390	487	[18, 3, 12, 19, 16, 19, 23, 7]	[27, 16, 0, 15, 20, 18, 14, 16]	[11, 26, 17, 10, 13, 10, 6, 22]
haggling	[8, 24, 6, 6, 20, 10, 9, 6]	304	401	[18, 3, 12, 8, 18, 25, 28, 16]	[27, 16, 0, 4, 22, 24, 19, 25]	[11, 26, 17, 21, 11, 4, 1, 13]
