Word;Indices;GP sum;GP sum red header;Plaintext minus ciphertext;Plaintext plus ciphertext;Ciphertext_minus_plaintext
Brighton;[17, 4, 10, 6, 8, 16, 3, 9];238;335;[27, 12, 16, 8, 6, 2, 22, 19];[7, 25, 4, 4, 10, 1, 13, 28];[2, 17, 13, 21, 23, 27, 7, 10]
Brindisi;[17, 4, 10, 9, 23, 10, 15, 10];336;433;[27, 12, 16, 11, 21, 25, 5, 20];[7, 25, 4, 7, 25, 24, 25, 0];[2, 17, 13, 18, 8, 4, 24, 9]
Brisbane;[17, 4, 10, 15, 17, 24, 9, 18];410;507;[27, 12, 16, 17, 15, 10, 28, 28];[7, 25, 4, 13, 19, 9, 19, 8];[2, 17, 13, 12, 14, 19, 1, 1]
Brittany;[17, 4, 10, 16, 16, 24, 9, 26];450;547;[27, 12, 16, 18, 14, 10, 28, 7];[7, 25, 4, 14, 18, 9, 19, 16];[2, 17, 13, 11, 15, 19, 1, 22]
Broadway;[17, 4, 3, 24, 23, 7, 24, 26];484;581;[27, 12, 9, 26, 21, 22, 14, 7];[7, 25, 26, 22, 25, 21, 5, 16];[2, 17, 20, 3, 8, 7, 15, 22]
Bromberg;[17, 4, 3, 19, 17, 18, 4, 6];306;403;[27, 12, 9, 21, 15, 4, 23, 16];[7, 25, 26, 17, 19, 3, 14, 25];[2, 17, 20, 8, 14, 25, 6, 13]
Bromelia;[17, 4, 3, 19, 18, 20, 10, 24];418;515;[27, 12, 9, 21, 16, 6, 0, 5];[7, 25, 26, 17, 20, 5, 20, 14];[2, 17, 20, 8, 13, 23, 0, 24]
Brooklyn;[17, 4, 3, 3, 5, 20, 26, 9];304;401;[27, 12, 9, 5, 3, 6, 16, 19];[7, 25, 26, 1, 7, 5, 7, 28];[2, 17, 20, 24, 26, 23, 13, 10]
Brosmius;[17, 4, 3, 15, 19, 10, 1, 15];290;387;[27, 12, 9, 17, 17, 25, 20, 25];[7, 25, 26, 13, 21, 24, 11, 5];[2, 17, 20, 12, 12, 4, 9, 4]
Browning;[17, 4, 3, 7, 9, 10, 9, 6];204;301;[27, 12, 9, 9, 7, 25, 28, 16];[7, 25, 26, 5, 11, 24, 19, 25];[2, 17, 20, 20, 22, 4, 1, 13]
Brucella;[17, 4, 1, 5, 18, 20, 20, 24];398;495;[27, 12, 7, 7, 16, 6, 10, 5];[7, 25, 24, 3, 20, 5, 1, 14];[2, 17, 22, 22, 13, 23, 19, 24]
Bruckner;[17, 4, 1, 5, 5, 9, 18, 4];208;305;[27, 12, 7, 7, 3, 24, 8, 14];[7, 25, 24, 3, 7, 23, 28, 23];[2, 17, 22, 22, 26, 5, 21, 15]
Brueghel;[17, 4, 1, 18, 6, 8, 18, 20];322;419;[27, 12, 7, 20, 4, 23, 8, 1];[7, 25, 24, 16, 8, 22, 28, 10];[2, 17, 22, 9, 25, 6, 21, 28]
Brumaire;[17, 4, 1, 19, 24, 10, 4, 18];352;449;[27, 12, 7, 21, 22, 25, 23, 28];[7, 25, 24, 17, 26, 24, 14, 8];[2, 17, 22, 8, 7, 4, 6, 1]
